NR.,Vulnerable Smart Contract ,Vulnerability/Bug,Analyzed,Bytecode/Solidity,Reason,EVM Code Coverage,Callstack Depth Attack Vulnerability,Timestamp dependence,Re-entrancy,TOD,Assertion Failure,Additional info,Compiler version
1,SimpleDao Sample compiler version 0.3.1,"Re-entrancy, call to the unkown",Yes,Bytecode,,99.70%,TRUE,FALSE,TRUE,FALSE,/,/,
,,,Yes,Solidity,,99.70%,TRUE,FALSE,TRUE,FALSE,FALSE,/,0.3.1
2,SimpleDao Sample compiler version 0.4.2,"Re-entrancy, call to the unkown",Yes,Bytecode,,99.70%,TRUE,FALSE,TRUE,FALSE,/,/,
,,,Yes,Solidity,,99.70%,TRUE,FALSE,TRUE,FALSE,FALSE,/,0.4.2
3,King of the Ether game (KoET),"Unchecked-send bug, Gasless send, Mishandled exception",Yes,Bytecode,,19.10%,TRUE,FALSE,FALSE,FALSE,,/,/
,,,Yes,Solidity,,21.40%,TRUE,FALSE,FALSE,FALSE,FALSE,/,0.2.1-fad2d4df
4,KotET Sample compiler version 0.3.1,Gasless send,Yes,Bytecode,,99.70%,TRUE,FALSE,FALSE,TRUE,/,/,
,,,Yes,Solidity,,99.70%,TRUE,FALSE,FALSE,TRUE,FALSE,Failed the first time.,0.3.1
5,KotET Sample compiler version 0.4.2,Gasless send,Yes,Bytecode,,99.70%,TRUE,FALSE,FALSE,TRUE,/,,
,,,Yes,Solidity,,99.70%,TRUE,FALSE,FALSE,TRUE,FALSE,/,0.4.2
6,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit",Yes,Bytecode,,21.20%,TRUE,TRUE,FALSE,TRUE,/,,
,,,Yes,Solidity,,21.20%,TRUE,TRUE,FALSE,TRUE,FALSE,Failed the first time.,0.2.1-2016-01-30-91a6b35
7,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes,Bytecode,,99.40%,TRUE,TRUE,FALSE,FALSE,/,,
,,,Yes,Solidity,,99.40%,TRUE,TRUE,FALSE,FALSE,FALSE,/,0.3.1
8,Rubixi ,"Immutable bugs, wrong constructor name",Yes,Bytecode,Modified,19.30%,TRUE,FALSE,FALSE,FALSE,/,,
,,,Yes,Solidity,,19.20%,TRUE,FALSE,FALSE,FALSE,FALSE,,0.2.1-2016-01-30-91a6b35
9,FirePonzi,Type casts (intentional scam),Yes,Bytecode,Modified,54.10%,TRUE,FALSE,FALSE,FALSE,/,/,
,,,Yes,Solidity,,54.10%,TRUE,FALSE,FALSE,FALSE,FALSE,,0.3.1-2016-04-07-054bc2a
10,Parity Multisig,Unintended function exposure,Yes,Bytecode,,17.30%,TRUE,FALSE,FALSE,FALSE,/,,
,,,No,Solidity (Web and CLI),Solidity compilation failed,,,,,,,,0.4.6
11,GoodFellas,Typo (wrong constructor name),Yes,Bytecode,Modified,48.60%,TRUE,FALSE,FALSE,FALSE,/,,
,,,Yes,Solidity,,48.50%,TRUE,FALSE,FALSE,FALSE,FALSE,,0.2.1-2016-01-30-91a6b35
12,StackyGame,Typo (wrong constructor name),Yes,Bytecode (CLI),Modified ,43.60%,TRUE,FALSE,FALSE,FALSE,,,
,,,Yes,Solidity,,39.70%,TRUE,FALSE,FALSE,FALSE,FALSE,,0.3.1-2016-04-12-3ad5e82
13,DynamicPyramid,Contract that do not refund,Yes,Bytecode,Modified,19.60%,TRUE,FALSE,FALSE,FALSE,/,,
,,,Yes,Solidity,,19.60%,TRUE,FALSE,FALSE,FALSE,FALSE,,0.2.1-2016-01-30-91a6b35
14,GreedPit,Contract that do not refund,Yes,Bytecode (CLI),Modified ,64.00%,TRUE,TRUE,FALSE,TRUE,,,
,,,Yes,Solidity (CLI),,64%,TRUE,TRUE,FALSE,TRUE,,,0.3.0-2016-03-11-1f9578c
15,NanoPyramid,Contract that do not refund,Yes,Bytecode,Modified,41.70%,TRUE,FALSE,FALSE,TRUE,/,,
,,,Yes,Solidity,,41.70%,TRUE,FALSE,FALSE,TRUE,FALSE,Failed the first time.,0.3.1-2016-04-12-3ad5e82
